,Agrocapi,Agrostis_spp,Anthodor,Aulapalu,Callvulg,Cardprat,Carenigr,Carepanic,Carepilu,Carex_spp,Cerafont,Cirspalu,Cynocris,Desccesp,Descflex,Dricscop,Durodili,Empenigr,Erictetr,Erioangu,Eriovagi,Festovin,Festrubr,Galisaxa,Holclana,Hylosple,Hylosple.1,Hypnjutu,Junceffu,Juncsqua,Luzumulti,Luzusylv,Molicaer,Nardstri,Plagiotundu,Pleuschr,Poaannu,Poaprat,Poatriv,Polycomm,Poteerec,Pseupuru,Ranurepe,Rhytlore,Rhytsqua,Rumeacetosa,Rumeacetosella,Sphacapi,Sphafall,sphapalu,Stelalsi,Taraxacu,Thuitama,Triccesp,Trifrepe,Vaccmyrt
64,0,0,0,0,0,0,20.202020202,0,0,0,0,0,0,0,0,0,0,0,0,1.0101010101,13.1313131313,0,0,0,0,0,0,0,0,0,0,0,45.4545454545,0,0,0,0,0,0,19.1919191919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0101010101
65,0,0,2,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,58,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1237113402,0,0,0,0,0,0,1.0309278351,0,0,0,0,0,0,0,0,0,0,94.8453608247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,3,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,72,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
68,0,0,0,0,0,0,1.0204081633,0,0,0,0,0,0,0,2.0408163265,0,0,0,0,0,0,2.0408163265,0,0,0,0,0,0,0,1.0204081633,0,0,88.7755102041,3.0612244898,0,1.0204081633,0,0,0,0,0,0,0,0,1.0204081633,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,6.1855670103,0,2.0618556701,0,0,0,0,0,0,0,17.5257731959,0,0,0,10.3092783505,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3917525773,0,0,1.0309278351,0,0,0,7.2164948454,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2783505155,0,0
71,1,0,11,0,0,0,74,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,24,0,0,0,0,0,0,0,39,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,0,0,13,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
73,0,2.1276595745,0,0,0,0,14.8936170213,0,0,0,0,0,0,0,4.2553191489,0,0,0,0,0,0,2.1276595745,0,2.1276595745,0,0,0,0,0,3.1914893617,0,0,47.8723404255,20.2127659574,0,0,0,0,0,1.0638297872,0,0,0,0,2.1276595745,0,0,0,0,0,0,0,0,0,0,0
74,0,4.0404040404,6.0606060606,0,0,0,1.0101010101,0,0,0,0,0,0,0,10.101010101,0,0,0,0,0,0,1.0101010101,0,5.0505050505,0,39.3939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1919191919,2.0202020202,1.0101010101,0,0,11.1111111111,0,0,0,0,0,0,0,0,0,0,0
75,0,6.1224489796,7.1428571429,0,0,0,0,0,0,4.0816326531,0,0,0,6.1224489796,0,0,0,0,0,0,0,2.0408163265,2.0408163265,0,1.0204081633,65.306122449,0,0,0,0,0,0,0,2.0408163265,0,0,0,2.0408163265,0,0,2.0408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,22.2222222222,0,9.0909090909,0,0,0,25.2525252525,1.0101010101,0,0,0,0,0,0,1.0101010101,0,0,0,0,0,0,6.0606060606,0,0,4.0404040404,0,0,0,0,0,0,0,0,27.2727272727,0,0,0,0,0,1.0101010101,3.0303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6.0606060606,6.0606060606,4.0404040404,0,0,0,1.0101010101,1.0101010101,0,11.1111111111,0,1.0101010101,1.0101010101,0,0,0,0,0,0,0,0,6.0606060606,4.0404040404,0,4.0404040404,3.0303030303,0,0,0,0,0,0,0,45.4545454545,0,0,0,0,0,0,1.0101010101,1.0101010101,1.0101010101,0,3.0303030303,0,0,0,0,0,0,0,0,0,0,0
78,0,1,8,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,5,4,7,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,18,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,2.0202020202,0,0,0,0,0,0,0,3.0303030303,0,0,0,0,0,0,3.0303030303,0,0,0,0,0,0,0,0,0,0,73.7373737374,4.0404040404,0,0,0,0,0,4.0404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,10.101010101,0,0
81,2.0408163265,0,1.0204081633,0,0,0,65.306122449,0,0,0,0,0,0,0,5.1020408163,0,0,0,0,0,0,6.1224489796,0,0,0,0,0,0,0,7.1428571429,1.0204081633,0,0,0,0,1.0204081633,0,0,0,11.2244897959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,1.0416666667,0,63.5416666667,0,0,0,0,0,0,0,5.2083333333,0,0,6.25,15.625,1.0416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1666666667,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,9.2783505155,0,0,0,0,0,0,0,5.1546391753,0,0,0,0,0,18.5567010309,0,0,0,0,0,0,0,0,0,0,0,17.5257731959,0,0,0,0,0,0,27.8350515464,0,0,0,0,0,0,0,1.0309278351,20.618556701,0,0,0,0,0,0,0
